Mod:Item:MetaData, Localized Name
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminium Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminium Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminium Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminium
TConstruct:MetalBlock:7, Block of Aluminium Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, Battlesign
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminium
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminium Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Grey Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Grey Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Grey Stained Pane
TConstruct:GlassPaneClearStained:8, Light Grey Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
GalacticraftCore:tile.landingPad:0, Rocket Launch Pad
GalacticraftCore:tile.landingPad:1, Buggy Fueling Pad
GalacticraftCore:tile.landingPadFull, Rocket Launch Pad
GalacticraftCore:tile.unlitTorch, Torch
GalacticraftCore:tile.unlitTorchLit, Torch
GalacticraftCore:tile.breatheableAir, tile.breatheableAir.name
GalacticraftCore:tile.brightAir, tile.brightAir.name
GalacticraftCore:tile.brightBreathableAir, tile.brightBreathableAir.name
GalacticraftCore:tile.oxygenCollector, Oxygen Collector
GalacticraftCore:tile.oxygenCompressor:0, Oxygen Compressor
GalacticraftCore:tile.oxygenCompressor:4, Oxygen Decompressor
GalacticraftCore:tile.distributor, Oxygen Bubble Distributor
GalacticraftCore:tile.sealer, Oxygen Sealer
GalacticraftCore:tile.oxygenDetector, Oxygen Detector
GalacticraftCore:tile.oxygenPipe, Oxygen Pipe
GalacticraftCore:tile.refinery, Refinery
GalacticraftCore:tile.fuelLoader, Fuel Loader
GalacticraftCore:tile.cargo:0, Cargo Loader
GalacticraftCore:tile.cargo:4, Cargo Unloader
GalacticraftCore:tile.rocketWorkbench, NASA Workbench
GalacticraftCore:tile.gcBlockCore:3, Tin Decoration Block
GalacticraftCore:tile.gcBlockCore:4, Tin Decoration Block
GalacticraftCore:tile.gcBlockCore:5, Copper Ore
GalacticraftCore:tile.gcBlockCore:6, Tin Ore
GalacticraftCore:tile.gcBlockCore:7, Aluminium Ore
GalacticraftCore:tile.gcBlockCore:8, Silicon Ore
GalacticraftCore:tile.gcBlockCore:9, Copper Block
GalacticraftCore:tile.gcBlockCore:10, Tin Block
GalacticraftCore:tile.gcBlockCore:11, Aluminium Block
GalacticraftCore:tile.gcBlockCore:12, Solid Meteoric Iron
GalacticraftCore:tile.airLockFrame:0, Air Lock Frame
GalacticraftCore:tile.airLockFrame:1, Air Lock Controller
GalacticraftCore:tile.airLockSeal, Air Lock Seal
GalacticraftCore:tile.enclosed:14, Sealable Aluminium Wire
GalacticraftCore:tile.enclosed:15, Sealable Heavy Aluminium Wire
GalacticraftCore:tile.enclosed:1, Sealable Oxygen Pipe
GalacticraftCore:tile.spaceStationBase, Space Station arrival block
GalacticraftCore:tile.dummyblock:0, tile.dummyblock.null.name
GalacticraftCore:tile.parachest, Parachest
GalacticraftCore:tile.solar:0, Basic Solar Panel
GalacticraftCore:tile.solar:4, Advanced Solar Panel
GalacticraftCore:tile.dish, Communications Dish
GalacticraftCore:tile.machine:0, Coal Generator
GalacticraftCore:tile.machine:12, Compressor
GalacticraftCore:tile.machine2:0, Electric Compressor
GalacticraftCore:tile.machine2:4, Circuit Fabricator
GalacticraftCore:tile.machine2:8, Oxygen Storage Module
GalacticraftCore:tile.machineTiered:0, Energy Storage Module
GalacticraftCore:tile.machineTiered:4, Electric Furnace
GalacticraftCore:tile.machineTiered:8, Energy Storage Cluster
GalacticraftCore:tile.machineTiered:12, Electric Arc Furnace
GalacticraftCore:tile.aluminumWire:0, Aluminium Wire
GalacticraftCore:tile.aluminumWire:1, Heavy Aluminium Wire
GalacticraftCore:tile.glowstoneTorch, Glowstone Torch
GalacticraftCore:tile.fallenMeteor, Fallen Meteor
GalacticraftCore:tile.moonBlock:0, Copper Ore
GalacticraftCore:tile.moonBlock:1, Tin Ore
GalacticraftCore:tile.moonBlock:2, Cheese Ore
GalacticraftCore:tile.moonBlock:3, Moon Soil
GalacticraftCore:tile.moonBlock:4, Moon Rock
GalacticraftCore:tile.moonBlock:5, Moon Turf
GalacticraftCore:tile.moonBlock:14, Moon Dungeon Brick
GalacticraftCore:tile.cheeseBlock, Block of Cheese
GalacticraftCore:tile.spinThruster, Spin Thruster
GalacticraftCore:tile.viewScreen, Display Screen
GalacticraftCore:tile.telemetry, Telemetry Unit
GalacticraftCore:tile.arclamp, Arc Lamp
GalacticraftCore:tile.treasureChest, Treasure Chest
GalacticraftCore:tile.tinStairs1, Tin Decoration Stairs
GalacticraftCore:tile.tinStairs2, Tin Decoration Stairs
GalacticraftCore:tile.moonStoneStairs, Moon Rock Stairs
GalacticraftCore:tile.moonBricksStairs, Moon Dungeon Brick Stairs
GalacticraftCore:tile.wallGC:0, Tin Decoration Wall
GalacticraftCore:tile.wallGC:1, Tin Decoration Wall
GalacticraftCore:tile.wallGC:2, Moon Rock Wall
GalacticraftCore:tile.wallGC:3, Moon Dungeon Brick Wall
GalacticraftCore:tile.wallGC:4, Mars Cobblestone Wall
GalacticraftCore:tile.wallGC:5, Mars Dungeon Brick Wall
GalacticraftCore:slabGCHalf:0, Tin Decoration Slab
GalacticraftCore:slabGCHalf:1, Tin Decoration Slab
GalacticraftCore:slabGCHalf:2, Moon Rock Slab
GalacticraftCore:slabGCHalf:3, Moon Dungeon Brick Slab
GalacticraftCore:slabGCHalf:4, Mars Cobblestone Slab
GalacticraftCore:slabGCHalf:5, Mars Dungeon Brick Slab
GalacticraftCore:slabGCDouble:0, tile.slabGCDouble.tinSlab.name
GalacticraftCore:slabGCDouble:1, tile.slabGCDouble.tinSlab.name
GalacticraftCore:slabGCDouble:2, tile.slabGCDouble.moonSlab.name
GalacticraftCore:slabGCDouble:3, tile.slabGCDouble.moonBricksSlab.name
GalacticraftCore:slabGCDouble:4, tile.slabGCDouble.marsSlab.name
GalacticraftCore:slabGCDouble:5, tile.slabGCDouble.marsBricksSlab.name
GalacticraftCore:tile.unlitTorch_Stone, Stone Torch
GalacticraftCore:tile.unlitTorchLit_Stone, Stone Torch
BuildCraft|Transport:filteredBufferBlock, Filtered Buffer
BuildCraft|Transport:pipeBlock, Pipe
BuildCraft|Factory:miningWellBlock, Mining Well
BuildCraft|Factory:plainPipeBlock, Mining Pipe
BuildCraft|Factory:autoWorkbenchBlock, Auto Workbench
BuildCraft|Factory:tankBlock, Tank
BuildCraft|Factory:pumpBlock, Pump
BuildCraft|Factory:floodGateBlock, Flood Gate
BuildCraft|Factory:refineryBlock, Refinery
BuildCraft|Factory:blockHopper, Chute
BuildCraft|Silicon:laserBlock, Laser
BuildCraft|Silicon:laserTableBlock:0, Assembly Table
BuildCraft|Silicon:laserTableBlock:1, Advanced Crafting Table
BuildCraft|Silicon:laserTableBlock:2, Integration Table
BuildCraft|Silicon:laserTableBlock:3, Charging Table
BuildCraft|Silicon:laserTableBlock:4, Programming Table
BuildCraft|Silicon:laserTableBlock:5, Stamping Table
BuildCraft|Silicon:packagerBlock, Recipe Packager
BuildCraft|Builders:machineBlock, Quarry
BuildCraft|Builders:fillerBlock, Filler
BuildCraft|Builders:frameBlock, Frame
BuildCraft|Builders:builderBlock, Builder
BuildCraft|Builders:architectBlock, Architect Table
BuildCraft|Builders:libraryBlock, Electronic Library
BuildCraft|Builders:constructionMarkerBlock, Construction Mark
GalacticraftMars:tile.treasureT2, Tier 2 Treasure Chest
GalacticraftMars:tile.treasureT3, Tier 3 Treasure Chest
GalacticraftMars:tile.asteroidsBlock:0, Asteroid Rock
GalacticraftMars:tile.asteroidsBlock:1, Asteroid Rock
GalacticraftMars:tile.asteroidsBlock:2, Asteroid Rock
GalacticraftMars:tile.asteroidsBlock:3, Aluminium Ore
GalacticraftMars:tile.asteroidsBlock:4, Ilmenite Ore
GalacticraftMars:tile.asteroidsBlock:5, Iron Ore
GalacticraftMars:tile.walkway, Walkway
GalacticraftMars:tile.walkwayWire, Walkway
GalacticraftMars:tile.walkwayOxygenPipe, Walkway
GalacticraftMars:tile.beamReflector, Beam Reflector
GalacticraftMars:tile.beamReceiver, Beam Receiver
GalacticraftMars:tile.telepadShort, Short Range Telepad
GalacticraftMars:tile.telepadFake, tile.telepadFake.name
GalacticraftMars:tile.denseIce, Dense Ice
GalacticraftMars:tile.minerBase, Astro Miner Base
GalacticraftMars:tile.minerBaseFull, tile.minerBaseFull.name
GalacticraftMars:tile.sludge, Bacterial Sludge
GalacticraftMars:tile.mars:0, Copper Ore
GalacticraftMars:tile.mars:1, Tin Ore
GalacticraftMars:tile.mars:2, Desh Ore
GalacticraftMars:tile.mars:3, Iron Ore
GalacticraftMars:tile.mars:4, Mars Cobblestone
GalacticraftMars:tile.mars:5, Mars Surface Rock
GalacticraftMars:tile.mars:6, Mars Sub-Surface Rock
GalacticraftMars:tile.mars:7, Mars Dungeon Brick
GalacticraftMars:tile.mars:8, Block of Desh
GalacticraftMars:tile.mars:9, Mars Stone
GalacticraftMars:tile.cavernVines, Cavernous Vines
GalacticraftMars:tile.slimelingEgg:0, Red Slimeling Egg
GalacticraftMars:tile.slimelingEgg:1, Blue Slimeling Egg
GalacticraftMars:tile.slimelingEgg:2, Yellow Slimeling Egg
GalacticraftMars:tile.creeperEgg, Creeper Egg
GalacticraftMars:tile.marsMachine:0, Terraformer
GalacticraftMars:tile.marsMachine:4, Cryogenic Chamber
GalacticraftMars:tile.marsMachine:8, Launch Controller
GalacticraftMars:tile.marsMachineT2:0, Gas Liquefier
GalacticraftMars:tile.marsMachineT2:4, Methane Synthesizer
GalacticraftMars:tile.marsMachineT2:8, Water Electrolyzer
GalacticraftMars:tile.marsCobblestoneStairs, Mars Cobblestone Stairs
GalacticraftMars:tile.marsDungeonBricksStairs, Mars Dungeon Brick Stairs
GalacticraftMars:tile.hydrogenPipe, Hydrogen Pipe
Railcraft:fluid.creosote, Creosote
Railcraft:fluid.steam, Steam
Railcraft:cube:0, Block of Coal Coke
Railcraft:cube:9, Block of Copper
Railcraft:cube:10, Block of Tin
Railcraft:cube:11, Block of Lead
Railcraft:cube:2, Block of Steel
Railcraft:cube:1, Block of Concrete
Railcraft:cube:8, Creosote Wood Block
Railcraft:cube:4, Crushed Obsidian
Railcraft:cube:6, Abyssal Stone
Railcraft:cube:7, Quarried Stone
Railcraft:anvil:0, Steel Anvil
Railcraft:anvil:1, Slightly Damaged Anvil
Railcraft:anvil:2, Very Damaged Anvil
Railcraft:machine.alpha:7, Coke Oven Brick
Railcraft:machine.alpha:12, Blast Furnace Brick
Railcraft:machine.alpha:3, Steam Oven
Railcraft:machine.alpha:14, Water Tank Siding
Railcraft:machine.alpha:8, Rolling Machine
Railcraft:machine.alpha:15, Rock Crusher
Railcraft:machine.alpha:11, Feed Station
Railcraft:machine.alpha:6, Trade Station
Railcraft:machine.alpha:0, World Anchor
Railcraft:machine.alpha:2, Personal Anchor
Railcraft:machine.alpha:13, Passive Anchor
Railcraft:machine.alpha:4, Admin Anchor
Railcraft:machine.alpha:1, Steam Turbine Housing
Railcraft:machine.alpha:5, Smoker
Railcraft:machine.alpha:9, Manual Steam Trap
Railcraft:machine.alpha:10, Automated Steam Trap
Railcraft:machine.beta:0, Iron Tank Wall
Railcraft:machine.beta:1, Iron Tank Gauge
Railcraft:machine.beta:2, Iron Tank Valve
Railcraft:machine.beta:13, Steel Tank Wall
Railcraft:machine.beta:14, Steel Tank Gauge
Railcraft:machine.beta:15, Steel Tank Valve
Railcraft:machine.beta:5, Solid Fueled Boiler Firebox
Railcraft:machine.beta:6, Liquid Fueled Boiler Firebox
Railcraft:machine.beta:3, Low Pressure Boiler Tank
Railcraft:machine.beta:4, High Pressure Boiler Tank
Railcraft:machine.beta:7, Hobbyist's Steam Engine
Railcraft:machine.beta:8, Commercial Steam Engine
Railcraft:machine.beta:9, Industrial Steam Engine
Railcraft:machine.beta:10, Anchor Sentinel
Railcraft:machine.beta:11, Void Chest
Railcraft:machine.beta:12, Metals Chest
Railcraft:track:4767, Switch Track
Railcraft:track:2144, Wye Track
Railcraft:track:0, Junction Track
Railcraft:track:0, Control Track
Railcraft:track:20176, Locking Track
Railcraft:track:23575, Disembarking Track
Railcraft:track:0, Embarking Track
Railcraft:track:0, Coupler Track
Railcraft:track:0, Whistle Track
Railcraft:track:30516, Locomotive Track
Railcraft:track:16093, Limiter Track
Railcraft:track:0, Routing Track
Railcraft:track:32363, Buffer Stop Track
Railcraft:track:30946, One-Way Track
Railcraft:track:0, Directional Detector Track
Railcraft:track:0, Gated One-Way Track
Railcraft:track:19746, Gated Track
Railcraft:track:0, Suspended Track
Railcraft:track:2264, Disposal Track
Railcraft:track:736, Wooden Track
Railcraft:track:0, Wooden Booster Track
Railcraft:track:0, Wooden Junction Track
Railcraft:track:19986, Wooden Switch Track
Railcraft:track:0, Wooden Wye Track
Railcraft:track:0, Reinforced Track
Railcraft:track:0, Reinforced Booster Track
Railcraft:track:764, Reinforced Junction Track
Railcraft:track:0, Reinforced Switch Track
Railcraft:track:0, Reinforced Wye Track
Railcraft:track:0, Electric Track
Railcraft:track:0, Electric Junction Track
Railcraft:track:10488, Electric Switch Track
Railcraft:track:0, Electric Wye Track
Railcraft:track:816, H.S. Track
Railcraft:track:0, H.S. Booster Track
Railcraft:track:26865, H.S. Transition Track
Railcraft:track:7916, H.S. Switch Track
Railcraft:track:0, H.S. Wye Track
Railcraft:track:8103, Priming Track
Railcraft:track:0, Launcher Track
Railcraft:track.elevator, Elevator Track
Railcraft:signal:4, Switch Lever
Railcraft:signal:2, Switch Motor
Railcraft:signal:5, Routing Switch Motor
Railcraft:signal:3, Block Signal
Railcraft:signal:11, Distant Signal
Railcraft:signal:1, Dual-Head Block Signal
Railcraft:signal:12, Dual-Head Distant Signal
Railcraft:signal:13, Signal Block Relay Box
Railcraft:signal:8, Signal Receiver Box
Railcraft:signal:9, Signal Controller Box
Railcraft:signal:10, Analog Signal Controller Box
Railcraft:signal:7, Signal Capacitor Box
Railcraft:signal:6, Signal Sequencer Box
Railcraft:signal:0, Signal Interlock Box
Railcraft:brick.abyssal:0, Abyssal Brick
Railcraft:brick.abyssal:1, Fitted Abyssal Stone
Railcraft:brick.abyssal:2, Abyssal Block
Railcraft:brick.abyssal:3, Ornate Abyssal Stone
Railcraft:brick.abyssal:4, Etched Abyssal Stone
Railcraft:brick.abyssal:5, Abyssal Cobblestone
Railcraft:brick.bleachedbone:0, Bleached Bone Brick
Railcraft:brick.bleachedbone:1, Fitted Bleached Bone Stone
Railcraft:brick.bleachedbone:2, Bleached Bone Block
Railcraft:brick.bleachedbone:3, Ornate Bleached Bone Stone
Railcraft:brick.bleachedbone:4, Etched Bleached Bone Stone
Railcraft:brick.bleachedbone:5, Bleached Bone Cobblestone
Railcraft:brick.bloodstained:0, Blood Stained Brick
Railcraft:brick.bloodstained:1, Fitted Blood Stained Stone
Railcraft:brick.bloodstained:2, Blood Stained Block
Railcraft:brick.bloodstained:3, Ornate Blood Stained Stone
Railcraft:brick.bloodstained:4, Etched Blood Stained Stone
Railcraft:brick.bloodstained:5, Blood Stained Cobblestone
Railcraft:brick.frostbound:0, Frost Bound Brick
Railcraft:brick.frostbound:1, Fitted Frost Bound Stone
Railcraft:brick.frostbound:2, Frost Bound Block
Railcraft:brick.frostbound:3, Ornate Frost Bound Stone
Railcraft:brick.frostbound:4, Etched Frost Bound Stone
Railcraft:brick.frostbound:5, Frost Bound Cobblestone
Railcraft:brick.infernal:0, Infernal Brick
Railcraft:brick.infernal:1, Fitted Infernal Stone
Railcraft:brick.infernal:2, Infernal Block
Railcraft:brick.infernal:3, Ornate Infernal Stone
Railcraft:brick.infernal:4, Etched Infernal Stone
Railcraft:brick.infernal:5, Infernal Cobblestone
Railcraft:brick.quarried:0, Quarried Brick
Railcraft:brick.quarried:1, Fitted Quarried Stone
Railcraft:brick.quarried:2, Quarried Block
Railcraft:brick.quarried:3, Ornate Quarried Stone
Railcraft:brick.quarried:4, Etched Quarried Stone
Railcraft:brick.quarried:5, Quarried Cobblestone
Railcraft:brick.sandy:0, Sandy Brick
Railcraft:brick.sandy:1, Fitted Sandy Stone
Railcraft:brick.sandy:2, Sandy Block
Railcraft:brick.sandy:3, Ornate Sandy Stone
Railcraft:brick.sandy:4, Etched Sandy Stone
Railcraft:brick.sandy:5, Sandy Cobblestone
Railcraft:brick.nether:0, Nether Bricks
Railcraft:brick.nether:1, Fitted Nether Stone
Railcraft:brick.nether:2, Nether Block
Railcraft:brick.nether:3, Ornate Nether Stone
Railcraft:brick.nether:4, Etched Nether Stone
Railcraft:brick.nether:5, Nether Cobblestone
Railcraft:post:0, Wooden Post
Railcraft:post:1, Stone Post
Railcraft:post:2, Metal Post
Railcraft:post:4, Wooden Platform
Railcraft:post:5, Stone Platform
Railcraft:post:6, Metal Platform
Railcraft:post.metal:0, Black Metal Post
Railcraft:post.metal:1, Red Metal Post
Railcraft:post.metal:2, Green Metal Post
Railcraft:post.metal:3, Brown Metal Post
Railcraft:post.metal:4, Blue Metal Post
Railcraft:post.metal:5, Purple Metal Post
Railcraft:post.metal:6, Cyan Metal Post
Railcraft:post.metal:7, Light Gray Metal Post
Railcraft:post.metal:8, Gray Metal Post
Railcraft:post.metal:9, Pink Metal Post
Railcraft:post.metal:10, Lime Metal Post
Railcraft:post.metal:11, Yellow Metal Post
Railcraft:post.metal:12, Light Blue Metal Post
Railcraft:post.metal:13, Magenta Metal Post
Railcraft:post.metal:14, Orange Metal Post
Railcraft:post.metal:15, White Metal Post
Railcraft:post.metal.platform:0, Black Metal Platform
Railcraft:post.metal.platform:1, Red Metal Platform
Railcraft:post.metal.platform:2, Green Metal Platform
Railcraft:post.metal.platform:3, Brown Metal Platform
Railcraft:post.metal.platform:4, Blue Metal Platform
Railcraft:post.metal.platform:5, Purple Metal Platform
Railcraft:post.metal.platform:6, Cyan Metal Platform
Railcraft:post.metal.platform:7, Light Gray Metal Platform
Railcraft:post.metal.platform:8, Gray Metal Platform
Railcraft:post.metal.platform:9, Pink Metal Platform
Railcraft:post.metal.platform:10, Lime Metal Platform
Railcraft:post.metal.platform:11, Yellow Metal Platform
